t,V
0.00511133603238878,-1.6930263157894736
0.007995951417004044,-1.6880263157894737
0.012575910931174161,-1.6871052631578947
0.01596153846153836,-1.6951315789473684
0.018729757085020338,-1.6871052631578947
0.03745698380566809,-1.6940131578947368
0.050382085020242884,-1.6900657894736841
0.05280364372469637,-1.6930263157894736
0.054114372469635685,-1.6871052631578947
0.05561234817813776,-1.6860526315789472
0.060690789473684115,-1.698092105263158
0.06188512145749003,-1.6891447368421053
0.06272773279352228,-1.6910526315789474
0.06526568825910928,-1.6970394736842105
0.06664979757085032,-1.6930263157894736
0.0689220647773281,-1.6921052631578948
0.07434463562753046,-1.6930921052631578
0.09072874493927152,-1.6990789473684211
0.09392206477732801,-1.7021052631578948
0.10845647773279343,-1.7
0.11065030364372463,-1.6970394736842105
0.11599696356275313,-1.6960526315789473
0.11761386639676108,-1.698092105263158
0.12011133603238866,-1.7030263157894736
0.12234564777327939,-1.7011184210526316
0.12538208502024284,-1.7000657894736841
0.13188006072874503,-1.709013157894737
0.1386133603238866,-1.704078947368421
0.14180668016194342,-1.7071052631578947
0.14876771255060728,-1.708092105263158
0.1526138663967611,-1.708092105263158
0.16268977732793521,-1.7100657894736842
0.1679605263157895,-1.7071052631578947
0.16891953441295549,-1.7120394736842106
0.16961285425101225,-1.7100657894736842
0.17734311740890696,-1.7110526315789474
0.17784665991902837,-1.7041447368421052
0.19592105263157888,-1.714078947368421
0.21757591093117412,-1.7171052631578947
0.22369180161943314,-1.7161184210526317
0.22453441295546517,-1.7180263157894737
0.22684210526315762,-1.7180263157894737
0.23068825910931168,-1.7180263157894737
0.23384362348178134,-1.7200657894736842
0.23476720647773286,-1.724078947368421
0.2576897773279353,-1.7200657894736842
0.2747646761133603,-1.7240131578947369
0.28145748987854236,-1.7180263157894737
0.2838815789473683,-1.7210526315789474
0.28684210526315757,-1.7180263157894737
0.2941523279352226,-1.728092105263158
0.30307439271255066,-1.7200657894736842
0.30546052631578946,-1.7221052631578948
0.308496963562753,-1.7210526315789474
0.3230364372469635,-1.7190789473684212
0.32949645748987844,-1.7270394736842105
0.33811234817813773,-1.7110526315789474
0.34134362348178127,-1.7150657894736843
0.3468066801619434,-1.7171052631578947
0.3506123481781376,-1.7160526315789473
0.3591497975708502,-1.7180263157894737
0.38765182186234814,-1.7190789473684212
0.39207489878542523,-1.714078947368421
0.3964220647773278,-1.7071052631578947
0.4046128542510121,-1.7200657894736842
0.4064220647773278,-1.7071052631578947
0.41565283400809716,-1.7071052631578947
0.41938259109311726,-1.704078947368421
0.4348431174089069,-1.7060526315789473
0.4393825910931173,-1.704078947368421
0.4443041497975708,-1.7120394736842106
0.44872975708502016,-1.7071052631578947
0.4524190283400811,-1.7030263157894736
0.4586513157894736,-1.7050657894736843
0.4655364372469635,-1.704078947368421
0.4957262145748986,-1.7090131578947367
0.5004984817813762,-1.7130921052631578
0.5048431174089067,-1.7060526315789473
0.5093421052631579,-1.7030263157894736
0.5191902834008097,-1.6990789473684211
0.5286133603238865,-1.704078947368421
0.5293066801619433,-1.7021052631578948
0.5362651821862348,-1.7030263157894736
0.5464600202429151,-1.708092105263158
0.5525354251012147,-1.7060526315789473
0.5573456477732792,-1.7111184210526316
0.5614195344129556,-1.6970394736842105
0.5668825910931174,-1.6990789473684211
0.5763436234817811,-1.7050657894736843
0.5771508097165992,-1.7060526315789473
0.5818446356275304,-1.708092105263158
0.5839574898785425,-1.7030263157894736
0.5855389676113361,-1.7041447368421052
0.5948836032388665,-1.7071052631578947
0.5953820850202429,-1.7000657894736841
0.6049215587044532,-1.708092105263158
0.6088056680161942,-1.7090789473684211
0.6181503036437248,-1.7120394736842106
0.6341143724696345,-1.7071052631578947
0.6341523279352226,-1.708092105263158
0.6427656882591097,-1.7120394736842106
0.6428820850202424,-1.7150657894736843
0.6466118421052629,-1.7120394736842106
0.6520748987854244,-1.714078947368421
0.6543446356275304,-1.7130921052631578
0.6612272267206474,-1.7120394736842106
0.6658046558704458,-1.7110526315789474
0.6691902834008092,-1.7190789473684212
0.6706148785425092,-1.7161184210526317
0.6754200404858288,-1.7210526315789474
0.6906148785425112,-1.7161184210526317
0.6998456477732791,-1.7161184210526317
0.7090764170040467,-1.7161184210526317
0.7146128542510113,-1.7200657894736842
0.7184590080971667,-1.7200657894736842
0.7223836032388664,-1.7221052631578948
0.7283071862348127,-1.7161184210526317
0.7316143724696342,-1.7221052631578948
0.7381503036437238,-1.7320394736842106
0.7484969635627532,-1.7210526315789474
0.779111842105263,-1.7170394736842105
0.7854984817813766,-1.7230921052631578
0.7884969635627526,-1.7210526315789474
0.7948026315789474,-1.725
0.803765182186235,-1.7180263157894737
0.8051138663967612,-1.7130921052631578
0.8129225708502028,-1.7161184210526317
0.8168421052631578,-1.7180263157894737
0.8219964574898784,-1.7120394736842106
0.8265384615384608,-1.7101315789473683
0.831110829959514,-1.7090131578947367
0.8344610323886645,-1.7161184210526317
0.8359564777327937,-1.715
0.8434185222672059,-1.7090131578947367
0.8506123481781378,-1.7160526315789473
0.8534969635627523,-1.7110526315789474
0.8604984817813763,-1.7130921052631578
0.8692687246963602,-1.7011184210526316
0.878112348178137,-1.7110526315789474
0.8801897773279348,-1.7050657894736843
0.8871508097165988,-1.7060526315789473
0.8939574898785441,-1.7030263157894736
0.9024974696356267,-1.7050657894736843
0.9047267206477732,-1.7030263157894736
0.9168041497975707,-1.6970394736842105
0.9250354251012145,-1.6910526315789474
0.9298456477732795,-1.6961184210526317
0.9336918016194329,-1.6961184210526317
0.9444964574898784,-1.6970394736842105
0.9506503036437246,-1.6970394736842105
0.9513056680161951,-1.694078947368421
0.9534590080971652,-1.6900657894736841
0.9596912955465582,-1.6921052631578948
0.9625759109311742,-1.6871052631578947
0.9695748987854249,-1.6890789473684211
0.9901518218623464,-1.684078947368421
0.9978441295546558,-1.684078947368421
1.0010728744939268,-1.6880263157894737
